"Species";"Iteration";"Method";"RMSE";"RSE"
"FRPU";41;"Linear_Regression";22,7152270592237;2,17732247682811
"FRPU";42;"Linear_Regression";27,860675492294;7,50462693405149
"FRPU";43;"Linear_Regression";16,7889441625099;2,71397141125018
"FRPU";44;"Linear_Regression";24,1567565683507;2,3785589114432
"FRPU";45;"Linear_Regression";30,6715721409052;9,71959337872813
"FRPU";46;"Linear_Regression";28,1388547336621;2,58769615279651
"FRPU";47;"Linear_Regression";27,0225728607163;2,37971401178885
"FRPU";48;"Linear_Regression";21,4764093592218;1,80792745874237
"FRPU";49;"Linear_Regression";24,650092342609;1,55397893891668
"FRPU";50;"Linear_Regression";25,1561629386898;15,8785937834375
"FRPU";51;"Linear_Regression";23,2356918630599;3,83604227332308
"FRPU";52;"Linear_Regression";23,6992798077723;14,4425793447536
"FRPU";53;"Linear_Regression";27,4175065064151;12,1502013353312
"FRPU";54;"Linear_Regression";24,8451723068509;1,73777668554628
"FRPU";55;"Linear_Regression";25,1345044803589;8,6233985208709
"FRPU";56;"Linear_Regression";26,6858817150458;6,64305672999681
"FRPU";57;"Linear_Regression";29,3026891975582;3,63226141166106
"FRPU";58;"Linear_Regression";24,5577757620925;3,67958697954319
"FRPU";59;"Linear_Regression";24,7822022985776;24,4599267360307
"FRPU";60;"Linear_Regression";24,9721895449305;3,81579119758571
"FRPU";61;"Linear_Regression";21,7283118538528;3,22381196946171
"FRPU";62;"Linear_Regression";24,3716341651189;3,73268387535691
"FRPU";63;"Linear_Regression";25,3324307846747;28,7049153747063
"FRPU";64;"Linear_Regression";30,7996459412142;16,0513699047592
"FRPU";65;"Linear_Regression";19,0893258206714;2,41158622876873
"FRPU";66;"Linear_Regression";19,9737459057992;2,90084889605811
"FRPU";67;"Linear_Regression";24,5683510320888;3,35752880739772
"FRPU";68;"Linear_Regression";21,7733847935495;3,56699833922208
"FRPU";69;"Linear_Regression";24,1111959227725;7,27164412678721
"FRPU";70;"Linear_Regression";26,4394070852037;3,21971288035427
"FRPU";71;"Linear_Regression";23,5881598960002;7,50992610875752
"FRPU";72;"Linear_Regression";24,0885505708278;3,30980395769744
"FRPU";73;"Linear_Regression";21,8200967677448;4,30367205930703
"FRPU";74;"Linear_Regression";20,5857559410194;5,06922043227995
"FRPU";75;"Linear_Regression";22,9126133776285;2,55734177011278
"FRPU";76;"Linear_Regression";25,8049613981403;5,30971045850438
"FRPU";77;"Linear_Regression";23,2721240548874;10,8667532596382
"FRPU";78;"Linear_Regression";21,0807849047455;2,71371407589156
"FRPU";79;"Linear_Regression";21,0478658905882;8,21092019625953
"FRPU";80;"Linear_Regression";24,8429548528827;1,05313741489088
"FRPU";81;"Linear_Regression";22,8515030736755;8,8620294568265
"FRPU";82;"Linear_Regression";26,135200737498;2,33884681434718
"FRPU";83;"Linear_Regression";23,1843725679394;1,60452278020604
"FRPU";84;"Linear_Regression";28,4079486101472;1,48198231538632
"FRPU";85;"Linear_Regression";26,3264871601787;1,79971841095405
"FRPU";86;"Linear_Regression";21,3164318559909;8,39370202122454
"FRPU";87;"Linear_Regression";20,2869316850163;2,50019330052828
"FRPU";88;"Linear_Regression";24,4225560784748;5,89309348790205
"FRPU";89;"Linear_Regression";23,1752732261084;3,63736540019626
"FRPU";90;"Linear_Regression";22,795409043695;27,0387093174024
"FRPU";91;"Linear_Regression";27,4974301305194;2,47493705636124
"FRPU";92;"Linear_Regression";24,3321107442778;5,26667566189535
"FRPU";93;"Linear_Regression";24,309985507863;4,77962416085939
"FRPU";94;"Linear_Regression";22,0841657129003;6,8635245231837
"FRPU";95;"Linear_Regression";21,2354291035666;9,51650736215072
"FRPU";96;"Linear_Regression";22,1872162592762;5,76705291175607
"FRPU";97;"Linear_Regression";25,7537425967892;4,27035893299879
"FRPU";98;"Linear_Regression";22,660222831963;5,94529039390498
"FRPU";99;"Linear_Regression";22,4076478795787;3,1671970506606
"MEEL";0;"Linear_Regression";24,097260658798;9,23327130606204
"MEEL";1;"Linear_Regression";21,587435946723;3,34170476592116
"MEEL";2;"Linear_Regression";19,3433165635506;2,45444057328772
"MEEL";3;"Linear_Regression";26,7432545917934;16,2527179235547
"MEEL";4;"Linear_Regression";21,5102882107423;1,724821945438
"MEEL";5;"Linear_Regression";31,1566399238614;2,28639080734053
"MEEL";6;"Linear_Regression";28,3977039292014;2,29224085738311
"MEEL";7;"Linear_Regression";28,8253373396794;20,4494292386719
"MEEL";8;"Linear_Regression";21,9077029993801;3,30217638252729
"MEEL";9;"Linear_Regression";21,4185381168977;3,06522410612219
"MEEL";10;"Linear_Regression";24,8894240149592;1,08829370292646
"MEEL";11;"Linear_Regression";25,8672837056271;9,08552473722359
"MEEL";12;"Linear_Regression";23,5151521449118;2,84097275949904
"MEEL";13;"Linear_Regression";31,2520355066613;2,07945331957518
"MEEL";14;"Linear_Regression";20,3083935050285;8,39557591936101
"MEEL";15;"Linear_Regression";22,2637364362664;8,62219068759724
"MEEL";16;"Linear_Regression";25,501055828568;16,1232887242803
"MEEL";17;"Linear_Regression";24,9715569689228;43,1692497807872
"MEEL";18;"Linear_Regression";27,1359222111435;3,58408091830965
"MEEL";19;"Linear_Regression";22,2848114239422;16,7218454521892
"MEEL";20;"Linear_Regression";21,9226085335739;7,53037788015857
"MEEL";21;"Linear_Regression";24,714211935503;14,3044780302512
"MEEL";22;"Linear_Regression";24,6908811678322;21,8953666816199
"MEEL";23;"Linear_Regression";20,0049651381635;18,3152756017989
"MEEL";24;"Linear_Regression";21,1361738221652;3,44332386187836
"MEEL";25;"Linear_Regression";26,2202157011891;3,08543043221212
"MEEL";26;"Linear_Regression";22,221026892777;3,59819143805777
"MEEL";27;"Linear_Regression";19,6644491402144;6,13093819869156
"MEEL";28;"Linear_Regression";25,7644143768648;18,4967593263209
"MEEL";29;"Linear_Regression";22,5455854828247;2,74443101092559
"MEEL";30;"Linear_Regression";22,6254336911251;2,02326877640071
"MEEL";31;"Linear_Regression";22,5972275309781;10,6857765484669
"MEEL";32;"Linear_Regression";22,8989033376171;2,64343157594105
"MEEL";33;"Linear_Regression";20,8986188088015;3,21765029951873
"MEEL";34;"Linear_Regression";21,0960243634545;2,99776286415012
"MEEL";35;"Linear_Regression";26,1682724881106;1,54387708502934
"MEEL";36;"Linear_Regression";24,4054717364237;4,52308730588444
"MEEL";37;"Linear_Regression";22,1878838080683;2,01258066999195
"MEEL";38;"Linear_Regression";22,0724413246742;2,71584638852938
"MEEL";39;"Linear_Regression";23,4231995872603;3,02951678612904
"MEEL";40;"Linear_Regression";22,9364116652036;2,57272144030247
"MEEL";41;"Linear_Regression";22,3493184258211;2,24853803474891
"MEEL";42;"Linear_Regression";28,8604443663816;5,92254015195693
"MEEL";43;"Linear_Regression";23,6415228639685;6,62123520164213
"MEEL";44;"Linear_Regression";23,483953899294;5,98812582379786
"MEEL";45;"Linear_Regression";29,440532322855;9,23728500856608
"MEEL";46;"Linear_Regression";22,5141998942164;8,8634423883138
"MEEL";47;"Linear_Regression";24,5100775792774;40,8827771106173
"MEEL";48;"Linear_Regression";20,3512469051662;2,52754021513882
"MEEL";49;"Linear_Regression";24,3112801454717;6,80547446419039
"MEEL";50;"Linear_Regression";25,6417206180634;2,58215449621327
"MEEL";51;"Linear_Regression";23,0301640741896;17,9189612838893
"MEEL";52;"Linear_Regression";22,7986104748238;8,77889861221545
"MEEL";53;"Linear_Regression";26,7435918209911;9,23309075770393
"MEEL";54;"Linear_Regression";23,3321190990531;7,35606542694945
"MEEL";55;"Linear_Regression";21,6631712673165;7,21612772460498
"MEEL";56;"Linear_Regression";22,9464218048006;4,73611909248826
"MEEL";57;"Linear_Regression";25,5849854811465;3,0899479207023
"MEEL";58;"Linear_Regression";21,5289086592446;3,79423094246474
"MEEL";59;"Linear_Regression";24,1138623335172;3,31747585968207
"MEEL";60;"Linear_Regression";25,4004106831477;5,38714166113732
"MEEL";61;"Linear_Regression";22,2471231318643;8,93788969415754
"MEEL";62;"Linear_Regression";23,0855564694483;5,03340164604907
"MEEL";63;"Linear_Regression";27,8765848774536;5,60023671637201
"MEEL";64;"Linear_Regression";34,1264474347194;2,0921959177389
"MEEL";65;"Linear_Regression";20,1114104693366;6,30153858176845
"MEEL";66;"Linear_Regression";25,932385448403;3,00614649456812
"MEEL";67;"Linear_Regression";30,6134034011515;1,8414270385238
"MEEL";68;"Linear_Regression";19,8925675799872;11,1127171581433
"MEEL";69;"Linear_Regression";24,6396881863193;6,25568504810967
"MEEL";70;"Linear_Regression";22,9548559614972;10,869630525219
"MEEL";71;"Linear_Regression";26,3025020568921;4,14461874850416
"MEEL";72;"Linear_Regression";22,0447508188613;2,31225482097889
"MEEL";73;"Linear_Regression";21,1543846280901;9,89832381607441
"MEEL";74;"Linear_Regression";22,9828255536629;7,35079525972935
"MEEL";75;"Linear_Regression";18,1845185020325;3,36610517955601
"MEEL";76;"Linear_Regression";26,5409100661163;12,3206677451951
"MEEL";77;"Linear_Regression";22,4877421333118;11,7151420297619
"MEEL";78;"Linear_Regression";21,4710459902877;6,40793500812198
"MEEL";79;"Linear_Regression";24,9269132453803;5,17418893525829
"MEEL";80;"Linear_Regression";24,6992082898696;1,27687816803437
"MEEL";81;"Linear_Regression";23,7575138008957;1,44684002145817
"MEEL";82;"Linear_Regression";28,7654777169869;1,81478622741077
"MEEL";83;"Linear_Regression";23,5198964274951;4,96165499183533
"MEEL";84;"Linear_Regression";25,3132666429601;4,61803530034134
"MEEL";85;"Linear_Regression";27,8388356792079;1,41540803106179
"MEEL";86;"Linear_Regression";28,3552474961228;3,11580227911917
"MEEL";87;"Linear_Regression";22,7753396865909;8,59925563341426
"MEEL";88;"Linear_Regression";18,7491051687201;17,7082760165561
"MEEL";89;"Linear_Regression";23,653439971153;4,08426647122948
"MEEL";90;"Linear_Regression";25,4327119589382;2,80758977808526
"MEEL";91;"Linear_Regression";22,5203818783837;4,6629408798289
"MEEL";92;"Linear_Regression";24,4857629306373;19,3711999422437
"MEEL";93;"Linear_Regression";21,8029934151618;1,9893569690889
"MEEL";94;"Linear_Regression";23,4477601207909;10,5291426591522
"MEEL";95;"Linear_Regression";22,6657062414074;17,3589129618769
"MEEL";96;"Linear_Regression";21,2999546809338;2,17389658426546
"MEEL";97;"Linear_Regression";27,9280915296253;9,01021735967101
"MEEL";98;"Linear_Regression";19,6922769727868;12,2125521888249
"MEEL";99;"Linear_Regression";26,6687577348884;3,82333244491586
"POMA";0;"Linear_Regression";28,3374047737185;1,43114709013377
"POMA";1;"Linear_Regression";21,9257668988936;1,20390460401215
"POMA";2;"Linear_Regression";25,9396207471172;0,965921833580703
"POMA";3;"Linear_Regression";28,3809401682943;1,63384666667324
"POMA";4;"Linear_Regression";26,4563633006843;1,16898273050163
"POMA";5;"Linear_Regression";27,7666439513163;1,18491587512202
"POMA";6;"Linear_Regression";31,202133109711;1,90010912877188
"POMA";7;"Linear_Regression";28,6087138546345;2,05695598301211
"POMA";8;"Linear_Regression";23,0630171135868;1,193706284031
"POMA";9;"Linear_Regression";26,5465473746535;1,29514330579635
"POMA";10;"Linear_Regression";27,1422081863308;1,5272447852834
"POMA";11;"Linear_Regression";29,4523219872829;2,29856661145627
"POMA";12;"Linear_Regression";26,9851837821567;1,54326698344724
"POMA";13;"Linear_Regression";27,1513088922048;1,8593046351329
"POMA";14;"Linear_Regression";29,3859909135809;1,74779631205576
"POMA";15;"Linear_Regression";28,4417996521994;1,54613739387701
"POMA";16;"Linear_Regression";29,9194589696425;1,7467638957568
"POMA";17;"Linear_Regression";23,4071575456548;2,07808092498322
"POMA";18;"Linear_Regression";29,047488372155;1,60363232335836
"POMA";19;"Linear_Regression";30,2576638706494;1,84150479198313
"POMA";20;"Linear_Regression";24,5482902759048;1,16039002867681
"POMA";21;"Linear_Regression";26,668250257781;1,23264823170741
"POMA";22;"Linear_Regression";23,0499538417891;1,5819736108882
"POMA";23;"Linear_Regression";23,7005797901431;1,22145246839044
